#,Page/Location,How to Find,Component,Problem,WCAG Level,Current Colors,Current Contrast,Required Contrast,Status,Fix (Color),Fix (Contrast)
1,All pages > Any link > Hover state,"1. Enable dark mode
2. Go to any page
3. Hover over any blue hyperlink
4. Observe darker blue hover color",Link text hover,Link hover text has dangerously low contrast - users may not see hover feedback,AA,#1164A3 on #1A1D21,2.47:1,4.5:1,FAIL,Change to #5BB5E8,5.1:1
2,All pages > All cards/inputs/modals,"1. Go to any page in dark mode
2. Look at card borders
3. Look at input field borders
4. Borders are nearly invisible",Primary border,Borders barely visible - fails 3:1 UI component requirement,AA (UI),#3A3B3F on #232529,1.37:1,3:1,FAIL,Change to #6E767D,3.2:1
3,API Detail > Try it out > Input fields,"1. Go to API Manager detail page
2. Scroll to Try it out section
3. Look at input fields for organizationId
4. Borders are nearly invisible",Input border,Input field borders invisible - users can't see field boundaries,AA (UI),#3A3B3F on #232529,1.37:1,3:1,FAIL,Same as #2,3.2:1
4,API Detail > Try it out > Input focus,"1. Go to API Manager detail page
2. Click inside an input field or Tab to it
3. The blue focus outline is too subtle",Focus border,Focus indicator too subtle - keyboard users can't track position,AA (UI),#2D7A9E on #232529,3.21:1,3:1,BORDERLINE,Change to #3E9CC8,4.2:1
5,Homepage > Catalog cards > Endpoint/skill counts,"1. Go to homepage in dark mode
2. Look at any API card (e.g. Access Management API)
3. Look at footer badges showing '267 endpoints' and '6 skills'
4. Gray text is difficult to read",Badge metadata text,Light gray text on cards barely readable,AA,#868689 on #232529,4.23:1,4.5:1,FAIL,Change to #959BA3,4.8:1
6,API Detail > Sidebar > Operation names (not hovered),"1. Go to API Manager detail page
2. Look at left sidebar operation list
3. Notice gray operation names before hovering
4. Text not sufficiently contrasted",Secondary labels,Operation names hard to read before selection,AA,#868689 on #232529,4.23:1,4.5:1,FAIL,Same as #5,4.8:1
7,API Detail > Parameters > Help text,"1. Go to API Manager detail page
2. Scroll to any operation's Try it out section
3. Look for parameter descriptions below input fields
4. Text is nearly invisible",Parameter descriptions,Very low contrast - users miss important parameter guidance,AA,#5E5F63 on #232529,2.41:1,4.5:1,FAIL,Change to #9CA6AF,6.2:1
8,All pages > Various subtle labels,"1. Navigate any page in dark mode
2. Look for any quaternary text labels
3. Extremely low contrast",Quaternary labels,Extremely low contrast - effectively invisible to many users,AA,#5E5F63 on #1A1D21,2.65:1,4.5:1,FAIL,Same as #7,6.2:1
9,API Detail > Sidebar > DELETE methods,"1. Go to API Manager detail page
2. Look at sidebar for DELETE operations
3. Red badge text is too dark",DELETE badge text,DELETE method badge below AA threshold,AA,#E84D4D on #232529,4.09:1,4.5:1,FAIL,Change to #FF6B6B,5.2:1
10,API Detail > Sidebar > Hover state text,"1. Go to API Manager detail page
2. Hover over any operation in sidebar
3. Text becomes unreadable on blue background",Sidebar hover text,Text on hover background unreadable,AA,#70B4FF on #0F3A5F,1.61:1,4.5:1,FAIL,Keep white text #FFFFFF,14.2:1
11,All pages > Section dividers,"1. Navigate any page
2. Look for horizontal section dividers
3. Nearly invisible lines",Secondary borders,Section dividers invisible - no visual structure,AA (UI),#2C2D30 on #1A1D21,1.23:1,3:1,FAIL,Change to #4A4D52,2.1:1 (or remove)
12,All pages > Disabled buttons/inputs,"1. Navigate to any form
2. Look for disabled state elements
3. Very subtle visual difference",Disabled state,Disabled elements not clearly distinguished from enabled,A,Varies,Varies,Visual distinction needed,FAIL,Add opacity or different background,N/A
13,All pages > Links (default state),"1. Navigate any page
2. Look at default blue links
3. Contrast is good but not AAA",Link default,Links don't meet AAA standard,AAA,#1D9BD1 on #1A1D21,4.83:1,7:1,AAA FAIL,Change to #70D4FF,9.1:1
14,All pages > Secondary text,"1. Navigate any page
2. Look at secondary text (descriptions metadata)
3. Contrast is AA but not AAA",Secondary text,Secondary text doesn't meet AAA standard,AAA,#9CA6AF on #1A1D21,6.12:1,7:1,AAA FAIL,Change to #B5BFC9,8.2:1
15,API Detail > Sidebar > GET methods,"1. Go to API detail page
2. Look at GET method badges in sidebar
3. Green text good for AA not AAA",GET badge,GET badges don't meet AAA contrast,AAA,#4FC46B on #232529,5.91:1,7:1,AAA FAIL,Change to #6BDB8A,8.1:1
16,API Detail > Try it out > Input placeholders,"1. Go to API detail page
2. Look at empty input fields
3. Placeholder text is AA but not AAA",Input placeholder,Placeholders don't meet AAA standard,AAA,#9CA6AF on #232529,5.48:1,7:1,AAA FAIL,Change to #B5BFC9,7.3:1
17,All pages > Buttons on hover,"1. Navigate any page
2. Hover over primary buttons
3. Hover state is AA but not AAA",Button hover,Button hover states don't meet AAA,AAA,#3A8CB0 on #232529,4.87:1,7:1,AAA FAIL,Change to #5DB4DA,7.8:1
18,API Detail > PATCH method badges,"1. Go to API detail page
2. Look at PATCH method badges
3. Purple text is AA but not AAA",PATCH badge,PATCH badges don't meet AAA contrast,AAA,#B089FF on #232529,6.24:1,7:1,AAA FAIL,Change to #C9A8FF,7.9:1
19,API Detail > OTHER method badges,"1. Go to API detail page
2. Look at OPTIONS/HEAD method badges
3. Gray text is AA but not AAA",OTHER badge,OTHER badges don't meet AAA contrast,AAA,#9CA6AF on #232529,5.48:1,7:1,AAA FAIL,Change to #B5BFC9,7.3:1
20,All pages > Card descriptions,"1. Navigate homepage
2. Look at API card descriptions
3. White text is good but might be harsh",Card description,Very high contrast might cause glare for some users,AAA (Enhanced),#FFFFFF on #232529,14.5:1,N/A,PASS (but consider),Consider #E6EDF3 for softer contrast,12.8:1
